# To customize: Keep the same column format below and add your own products!
id,product_name,brand,price,category,stock_count
101,Noise Cancelling Headphones,Sony,299.99,Audio,50
102,Wireless Gaming Mouse,Logitech,59.99,Peripherals,120
103,4K Monitor 27-inch,Dell,349.50,Monitors,15
104,Mechanical Keyboard (RGB),Razer,129.00,Peripherals,30
105,USB-C Hub Multiport,Anker,45.00,Accessories,200
106,Smart Watch Series 7,Apple,399.00,Wearables,25
107,Ergonomic Office Chair,Herman Miller,1200.00,Furniture,5
108,Portable SSD 1TB,Samsung,119.99,Storage,60
109,Webcam 1080p,Logitech,79.99,Peripherals,45
110,Gaming Laptop 15-inch,Asus,1499.00,Computers,10
